target_roi,rank,direction,feature_index,expanded_feature_name,source_schema_roi,dimension_id,domain,lag,mean_coef,mean_abs_coef,positive_fraction,negative_fraction,sign_consistency,n_target_parcels,definition,trigger_list,scoreability_note,exclusion_note
IPL,9,negative,45,ACC::intense_cognitive_concentration_lag2,ACC,intense_cognitive_concentration,appraised_effort_and_action_outcomes,2,-0.006739907839,0.009216181618,0.250000,0.750000,0.750000,12,"The mental effort, deep focus, and complex problem-solving exhibited by characters under high-stakes pressure.","A character carefully defusing a bomb with a ticking timer; A character solving a complex mathematical puzzle to unlock a door; A character planning a highly intricate heist under tight constraints; A surgeon performing a delicate, high-precision operation","Look for descriptions of intense mental focus, calculation, strategic planning, or high-precision tasks.",Do not score physical strength or emotional outbursts; focus on intellectual or cognitive strain.
IPL,10,negative,773,VMPFC::prosocial_altruism_lag6,VMPFC,prosocial_altruism,social_moral_appraisal,6,-0.006674878318,0.006989829331,0.083333,0.916667,0.916667,12,"The viewer's appraisal of a character's actions as highly prosocial, altruistic, cooperative, or morally exemplary, upholding social norms of fairness, kindness, and mutual support.",A character risking their own safety to help a stranger.; An act of profound generosity or charity to someone in need.; Characters working together cooperatively and selflessly to solve a community crisis.,"Look for descriptions of characters acting selflessly, cooperating, showing kindness, or making sacrifices for the well-being of others.",Do not score routine professional duties unless they involve extraordinary personal sacrifice or genuine altruistic intent.
AG,1,negative,883,pSTS::dialogue_interactivity_and_turn_taking_lag6,pSTS,dialogue_interactivity_and_turn_taking,social_interaction_tracking,6,-0.010067031517,0.010067031517,0.000000,1.000000,1.000000,6,"The degree to which the scene features active, back-and-forth verbal communication and conversational turn-taking between characters.",Rapid verbal banter; Interrupted speech or overlapping dialogue; Direct question-and-answer exchanges; Heated arguments with quick verbal retorts,"Score based on the frequency, speed, and density of verbal turn-taking described in the text.",Do not score non-verbal interactions or solitary monologues/voiceovers where no interactive turn-taking occurs.
AG,2,negative,902,FFA::recurring_character_recognition_lag6,FFA,recurring_character_recognition,character_identity_tracking,6,-0.009372735005,0.009372735005,0.000000,1.000000,1.000000,6,"The re-entry of an established character after an absence, requiring the viewer to retrieve and match their facial identity.",character returns; re-entering the scene; recognizing a familiar face; reunion of characters; character steps back into frame,Score based on the return of known characters and the narrative/visual weight of their re-entry.,Do not score high for characters who have been continuously on screen without leaving.
AG,3,negative,7,DLPFC::social_norm_and_tactical_boundary_negotiation_lag2,DLPFC,social_norm_and_tactical_boundary_negotiation,rule_and_normative_constraint_integration,2,-0.008986999386,0.008986999386,0.000000,1.000000,1.000000,6,"The characters' conscious navigation, negotiation, or manipulation of implicit social norms, etiquette, hierarchy, or high-stakes social expectations.","A character navigating a tense, high-society dinner party with strict unwritten rules; A character trying to fit into a subculture or group with unique social codes; A delicate diplomatic or political interaction requiring extreme tact; A character deliberately manipulating social expectations to achieve a goal","Driven by scenes rich in subtext, social tension, etiquette, class dynamics, or implicit codes of conduct.","Do not score physical conflicts or explicit, formal rules."
AG,4,negative,773,VMPFC::prosocial_altruism_lag6,VMPFC,prosocial_altruism,social_moral_appraisal,6,-0.008132624458,0.008132624458,0.000000,1.000000,1.000000,6,"The viewer's appraisal of a character's actions as highly prosocial, altruistic, cooperative, or morally exemplary, upholding social norms of fairness, kindness, and mutual support.",A character risking their own safety to help a stranger.; An act of profound generosity or charity to someone in need.; Characters working together cooperatively and selflessly to solve a community crisis.,"Look for descriptions of characters acting selflessly, cooperating, showing kindness, or making sacrifices for the well-being of others.",Do not score routine professional duties unless they involve extraordinary personal sacrifice or genuine altruistic intent.
AG,5,negative,791,ACC::expectancy_violation_and_surprise_lag6,ACC,expectancy_violation_and_surprise,cognitive_conflict_and_expectancy_monitoring,6,-0.008109568111,0.008109568111,0.000000,1.000000,1.000000,6,"The occurrence of sudden plot twists, unexpected events, or mismatches with established predictions that surprise the characters or the viewer.",A sudden betrayal by a trusted ally; An unexpected environmental hazard appearing out of nowhere; A shocking revelation that changes the understanding of the plot; A character surviving an event thought to be fatal,Score based on the suddenness and magnitude of the deviation from what was expected in the narrative context.,"Do not score expected progression of events, even if they are dramatic or intense."
AG,6,negative,76,IPL::camera_perspective_and_viewpoint_shifts_lag2,IPL,camera_perspective_and_viewpoint_shifts,spatial_layout_and_perspective_tracking,2,-0.007472582814,0.007472582814,0.000000,1.000000,1.000000,6,"Tracking shifts in visual perspective, camera angles, zoom levels, or viewpoint changes within the scene.",camera pans across; extreme close-up; bird's-eye view; sudden cut to a different angle,"Score based on explicit descriptions of camera movements, angles, and visual framing shifts.",Do not score physical movement of characters unless it directly causes or is described in terms of a camera perspective shift.
AG,7,negative,32,OFC::sensory_luxury_and_comfort_lag2,OFC,sensory_luxury_and_comfort,viewer_affective_and_hedonic_valuation,2,-0.007005695600,0.007005695600,0.000000,1.000000,1.000000,6,"The depiction of high-end, luxurious, comfortable, or sensory-rich environments and experiences (e.g., fine dining, plush furniture, beautiful aesthetics, physical indulgence).","Eating a gourmet meal in a five-star restaurant; Relaxing in a luxurious spa or hot tub; Sitting on a plush, comfortable velvet sofa; Surrounding oneself with beautiful art and gold decor","Focus on descriptions of sensory pleasure, comfort, wealth, and aesthetic indulgence.","Do not score general happiness or success unless it is tied to physical, sensory, or environmental luxury."
AG,8,negative,835,IPL::cross_scene_causal_linking_lag6,IPL,cross_scene_causal_linking,narrative_causal_integration,6,-0.006837260389,0.011876095656,0.333333,0.666667,0.666667,6,Connecting current events to past occurrences or future consequences in the plot to maintain narrative coherence.,recalling a past clue; realizing the consequence of an earlier action; connecting two seemingly unrelated events; foreshadowing a future event,Score based on how much the scene requires the viewer to integrate information across different times or scenes.,"Do not score simple chronological progressions without causal connections (e.g., 'then he went to bed')."
AG,9,negative,45,ACC::intense_cognitive_concentration_lag2,ACC,intense_cognitive_concentration,appraised_effort_and_action_outcomes,2,-0.006699950840,0.010419109793,0.333333,0.666667,0.666667,6,"The mental effort, deep focus, and complex problem-solving exhibited by characters under high-stakes pressure.","A character carefully defusing a bomb with a ticking timer; A character solving a complex mathematical puzzle to unlock a door; A character planning a highly intricate heist under tight constraints; A surgeon performing a delicate, high-precision operation","Look for descriptions of intense mental focus, calculation, strategic planning, or high-precision tasks.",Do not score physical strength or emotional outbursts; focus on intellectual or cognitive strain.
AG,10,negative,173,Temporal_Pole::social_hierarchy_and_power_dynamics_lag2,Temporal_Pole,social_hierarchy_and_power_dynamics,social_relationship_and_script_tracking,2,-0.006612842533,0.007694942695,0.166667,0.833333,0.833333,6,"Tracking the relative social status, dominance, authority, or submission between characters in an interaction.","Explicit assertions of authority or rank; Submissive gestures or deferential language; Power struggles or challenges to leadership; Displays of wealth, status, or social privilege","Driven by verbal commands, deferential language, physical posture of submission/dominance, and explicit mentions of rank or social class.","Do not score general physical conflict or emotional anger unless it directly relates to social status, authority, or power relations."
TPJ,1,negative,883,pSTS::dialogue_interactivity_and_turn_taking_lag6,pSTS,dialogue_interactivity_and_turn_taking,social_interaction_tracking,6,-0.006995791702,0.010115042495,0.200000,0.800000,0.800000,20,"The degree to which the scene features active, back-and-forth verbal communication and conversational turn-taking between characters.",Rapid verbal banter; Interrupted speech or overlapping dialogue; Direct question-and-answer exchanges; Heated arguments with quick verbal retorts,"Score based on the frequency, speed, and density of verbal turn-taking described in the text.",Do not score non-verbal interactions or solitary monologues/voiceovers where no interactive turn-taking occurs.
TPJ,2,negative,791,ACC::expectancy_violation_and_surprise_lag6,ACC,expectancy_violation_and_surprise,cognitive_conflict_and_expectancy_monitoring,6,-0.005967698985,0.007059984142,0.100000,0.900000,0.900000,20,"The occurrence of sudden plot twists, unexpected events, or mismatches with established predictions that surprise the characters or the viewer.",A sudden betrayal by a trusted ally; An unexpected environmental hazard appearing out of nowhere; A shocking revelation that changes the understanding of the plot; A character surviving an event thought to be fatal,Score based on the suddenness and magnitude of the deviation from what was expected in the narrative context.,"Do not score expected progression of events, even if they are dramatic or intense."
TPJ,3,negative,773,VMPFC::prosocial_altruism_lag6,VMPFC,prosocial_altruism,social_moral_appraisal,6,-0.005887928941,0.006757941148,0.150000,0.850000,0.850000,20,"The viewer's appraisal of a character's actions as highly prosocial, altruistic, cooperative, or morally exemplary, upholding social norms of fairness, kindness, and mutual support.",A character risking their own safety to help a stranger.; An act of profound generosity or charity to someone in need.; Characters working together cooperatively and selflessly to solve a community crisis.,"Look for descriptions of characters acting selflessly, cooperating, showing kindness, or making sacrifices for the well-being of others.",Do not score routine professional duties unless they involve extraordinary personal sacrifice or genuine altruistic intent.
TPJ,4,negative,130,TPJ::blame_and_intentionality_assessment_lag2,TPJ,blame_and_intentionality_assessment,moral_and_normative_appraisal,2,-0.005490370549,0.007176515517,0.250000,0.750000,0.750000,20,"The degree to which the viewer must evaluate a character's level of blame, intentionality, or negligence behind a harmful outcome, distinguishing between accidents, negligence, and deliberate malice.",An accident that looks suspicious; A character being blamed for something they didn't do; Evaluating whether a character meant to cause harm,"Look for descriptions of accidents, negligence, false accusations, excuses, coercion, and debates over who is to blame for a tragedy.","Do not score clear-cut, deliberate acts of malice where there is absolutely no question about the character's intent and full culpability."
TPJ,5,negative,845,SMG::unexpected_narrative_intrusions_lag6,SMG,unexpected_narrative_intrusions,attentional_reorienting_and_spatial_salience,6,-0.005462525243,0.009789155692,0.250000,0.750000,0.750000,20,"The sudden, unexpected introduction of a new character, object, or event that interrupts the ongoing narrative flow and demands immediate attention.","a character suddenly bursting into a private meeting; an unexpected phone call interrupting an intimate moment; a sudden, unannounced arrival of a visitor; an unexpected obstacle appearing in the middle of the road; a sudden, shocking plot twist revealed mid-conversation","Look for events that interrupt, halt, or redirect the characters' current focus, actions, or conversations in an unexpected manner.","Do not score expected transitions, planned meetings, or gradual narrative developments."
TPJ,6,negative,7,DLPFC::social_norm_and_tactical_boundary_negotiation_lag2,DLPFC,social_norm_and_tactical_boundary_negotiation,rule_and_normative_constraint_integration,2,-0.005234186385,0.007498477823,0.200000,0.800000,0.800000,20,"The characters' conscious navigation, negotiation, or manipulation of implicit social norms, etiquette, hierarchy, or high-stakes social expectations.","A character navigating a tense, high-society dinner party with strict unwritten rules; A character trying to fit into a subculture or group with unique social codes; A delicate diplomatic or political interaction requiring extreme tact; A character deliberately manipulating social expectations to achieve a goal","Driven by scenes rich in subtext, social tension, etiquette, class dynamics, or implicit codes of conduct.","Do not score physical conflicts or explicit, formal rules."
TPJ,7,negative,143,pSTS::gaze_direction_and_mutual_stare_lag2,pSTS,gaze_direction_and_mutual_stare,social_attention_and_gaze_tracking,2,-0.005134076872,0.005949575694,0.250000,0.750000,0.750000,20,"The tracking of where characters are directing their eyes, specifically focusing on mutual eye contact or intense, direct stares between characters.","Locked eye contact during a confrontation; A romantic, lingering gaze between lovers; An intense, hostile stare-down; A character staring intently at another who is unaware","Score based on descriptions of characters looking at each other, locking eyes, staring, or exchanging intense glances.","Do not score characters looking at inanimate objects, landscapes, or looking around a room generally without focusing on another person."
TPJ,8,negative,888,pSTS::locomotion_and_gait_dynamics_lag6,pSTS,locomotion_and_gait_dynamics,biological_motion_and_action_intent_appraisal,6,-0.005131566055,0.011629336243,0.200000,0.800000,0.800000,20,"The physical manner of walking, running, or moving through space, conveying intent, urgency, or physical state (e.g., sneaking, stomping, stumbling).",Sneaking stealthily on tiptoes; Stumbling or limping heavily due to injury; Sprinting frantically away from danger; Stomping angrily out of a room,"Score based on the style, speed, urgency, and physical effort involved in a character's walking, running, or physical movement through space.",Do not score passive transportation (like riding in a car) or stationary physical actions.
TPJ,9,negative,899,FFA::multiple_faces_density_lag6,FFA,multiple_faces_density,face_presence_and_salience,6,-0.005106711101,0.006494998990,0.300000,0.700000,0.700000,20,"The density and number of human faces visible simultaneously on screen, from a single face to crowded scenes.",crowded room; group shot of characters; audience looking at a stage; busy street with pedestrians; multiple faces in the frame,Score based on the described number of people or faces present and visible in the scene simultaneously.,"Do not score high for scenes with many people if their faces are not visible (e.g., shown from behind, in silhouette, or far distance)."
TPJ,10,negative,752,DLPFC::tactical_planning_and_formulation_lag6,DLPFC,tactical_planning_and_formulation,strategic_goal_and_plan_tracking,6,-0.004930079204,0.009198297706,0.300000,0.700000,0.700000,20,"The extent to which characters explicitly formulate, discuss, or negotiate a multi-step, goal-directed plan or tactical maneuver.",Characters brainstorming a heist or rescue mission; A leader outlining a step-by-step strategy to their team; A character explaining a complex trick or trap they are setting; Explicit discussion of contingencies and backup plans,"Look for explicit dialogue or actions where characters map out future steps, assign roles, or discuss how to overcome specific obstacles to achieve a goal.",Do not score based on the actual execution of the plan unless the characters are actively discussing or adjusting the plan during execution.
FFA,1,negative,863,AG::metaphorical_conceptual_processing_lag6,AG,metaphorical_conceptual_processing,semantic_schema_and_anomaly_resolution,6,-0.012017044731,0.019277190465,0.500000,0.500000,0.500000,4,"The processing of metaphorical language, highly symbolic dialogue, or abstract concepts that require the viewer to map one domain of knowledge onto another.","A character speaking in extended metaphors or allegories.; A visual element or action that serves as a direct metaphor for an abstract concept.; Dialogue discussing complex, abstract philosophical ideas.","Look for text describing poetic dialogue, philosophical discussions, allegorical stories, or visual symbols that represent abstract ideas.","Do not score simple emotional expressions or literal descriptions of events, even if they are dramatic."
FFA,2,negative,765,VMPFC::emotion_amusement_lag6,VMPFC,emotion_amusement,emotion_experience,6,-0.011855539975,0.012240805275,0.250000,0.750000,0.750000,4,"Inferred feeling of lighthearted humor, playfulness, or laughter triggered by funny, absurd, or witty narrative elements.","A character making a witty joke or sarcastic remark.; A slapstick or physically comical situation.; An absurd, ironic, or unexpected comedic turn of events.","Look for explicit jokes, witty banter, physical comedy, or absurd situations described in the text.","Do not score general happiness, joy, or relief unless there is a clear element of humor or playfulness."
FFA,3,negative,95,SMG::dialogue_density_and_tempo_lag2,SMG,dialogue_density_and_tempo,verbal_phonological_tracking,2,-0.010475071559,0.014287743184,0.250000,0.750000,0.750000,4,"The density, speed, and overall tempo of spoken dialogue or narration in the scene.","characters speaking rapidly and overlapping; a fast-paced, witty banter sequence; a rapid-fire monologue or voiceover; characters interrupting each other constantly; a high volume of spoken words in a short period","Score based on the described speed, density, and frequency of spoken words, dialogue exchanges, or voiceovers.",Do not score non-verbal sounds (like groans or screams) or written text shown on screen.
FFA,4,negative,781,OFC::social_faux_pas_and_awkwardness_lag6,OFC,social_faux_pas_and_awkwardness,viewer_social_norm_appraisal,6,-0.009210262440,0.009210262440,0.000000,1.000000,1.000000,4,"The occurrence of minor social transgressions, awkward interactions, embarrassing moments, or violations of polite etiquette.",Spilling a drink on someone at a formal dinner; Forgetting someone's name during an introduction; An awkward silence during a conversation; Making an inappropriate joke that falls flat,"Look for cues of embarrassment, social discomfort, or minor breaches of etiquette.",Do not score major moral or legal crimes here; focus on social etiquette and awkwardness.
FFA,5,negative,283,SMG::dialogue_density_and_tempo_lag3,SMG,dialogue_density_and_tempo,verbal_phonological_tracking,3,-0.008672589315,0.013748468329,0.250000,0.750000,0.750000,4,"The density, speed, and overall tempo of spoken dialogue or narration in the scene.","characters speaking rapidly and overlapping; a fast-paced, witty banter sequence; a rapid-fire monologue or voiceover; characters interrupting each other constantly; a high volume of spoken words in a short period","Score based on the described speed, density, and frequency of spoken words, dialogue exchanges, or voiceovers.",Do not score non-verbal sounds (like groans or screams) or written text shown on screen.
FFA,6,negative,36,OFC::strategic_uncertainty_and_suspense_lag2,OFC,strategic_uncertainty_and_suspense,viewer_risk_and_uncertainty_assessment,2,-0.008654377645,0.011187460262,0.250000,0.750000,0.750000,4,"The unpredictability of outcomes, high-stakes decision-making under uncertainty, or intense suspense regarding what will happen next.",Waiting for the results of a critical medical test; Defusing a bomb with seconds left on the timer; A high-stakes poker game where a character bets everything; Hiding in a closet while a killer searches the room,"Look for cues of suspense, tension, uncertainty, and high-stakes decision-making.",Do not score simple physical action unless it is accompanied by high uncertainty or suspense about the outcome.
FFA,7,negative,876,TPJ::communicative_intent_and_dialogue_dynamics_lag6,TPJ,communicative_intent_and_dialogue_dynamics,social_interaction_appraisal,6,-0.008414638529,0.011260230250,0.250000,0.750000,0.750000,4,"The complexity of the communication between characters, focusing on subtext, non-verbal social cues, sarcasm, or reading between the lines of a conversation.",A character using heavy sarcasm or irony; A conversation filled with unspoken subtext; Characters communicating through subtle non-verbal cues,"Look for descriptions of sarcasm, flirting, coded language, tense silences, meaningful glances, and conversations where characters are hiding their true thoughts behind polite words.","Do not score loud, direct shouting matches where there is no subtext and everything is expressed explicitly."
FFA,8,negative,516,pSTS::vocal_prosody_and_emotional_expression_lag4,pSTS,vocal_prosody_and_emotional_expression,audiovisual_speech_and_communication_integration,4,-0.008101665398,0.008101665398,0.000000,1.000000,1.000000,4,"The presence and intensity of emotional inflection, tone, pitch, and volume in spoken words (e.g., whispering in fear, shouting in anger, trembling voice).","A voice trembling with suppressed tears; A furious, screaming argument; A tense, hushed whisper in the dark; A sarcastic, mocking tone of voice","Score based on descriptions of how words are spoken, focusing on tone, volume, trembling, screaming, whispering, and emotional inflection.","Do not score the semantic content of the words themselves, only the acoustic and emotional delivery of the speech."
